authorId,reviewId
143803458,review_00001
49200960,review_00002
2108749110,review_00003
38877316,review_00004
2124943897,review_00005
1920997,review_00006
1435951740,review_00007
50727957,review_00008
50085803,review_00009
145761702,review_00010
3383201,review_00011
88383802,review_00012
47936210,review_00013
1798717,review_00014
1813929,review_00015
2128730021,review_00016
2330160382,review_00017
2057301,review_00018
26565846,review_00019
1709595,review_00020
145189529,review_00021
120174921,review_00022
3612962,review_00023
150216078,review_00024
14713686,review_00025
2530185,review_00026
47335857,review_00027
40237605,review_00028
39792712,review_00029
4491016,review_00030
31985837,review_00031
6755448,review_00032
48848257,review_00033
34718419,review_00034
144432344,review_00035
5367408,review_00036
2966918,review_00037
50471237,review_00038
1911034,review_00039
6094091,review_00040
143670470,review_00041
1401161714,review_00042
40369895,review_00043
8481830,review_00044
3021259,review_00045
2072796239,review_00046
11025664,review_00047
88834303,review_00048
5782902,review_00049
1400648288,review_00050
152169059,review_00051
3824630,review_00052
14738441,review_00053
50584143,review_00054
143715293,review_00055
12114505,review_00056
2108953977,review_00057
2467042,review_00058
80940782,review_00059
48461247,review_00060
4698443,review_00061
39648895,review_00062
117172268,review_00063
46919440,review_00064
4791335,review_00065
3536844,review_00066
5185050,review_00067
5484539,review_00068
1491392129,review_00069
2112640251,review_00070
13769354,review_00071
1490907269,review_00072
46448527,review_00073
2155653292,review_00074
14066328,review_00075
2118909276,review_00076
148058973,review_00077
35230514,review_00078
1513177663,review_00079
1400963526,review_00080
5898240,review_00081
1459935010,review_00082
143622844,review_00083
145313104,review_00084
2184066,review_00085
100683845,review_00086
34632362,review_00087
6223193,review_00088
31569714,review_00089
2112721365,review_00090
3719865,review_00091
38194376,review_00092
119835297,review_00093
34588562,review_00094
2109355,review_00095
5393648,review_00096
2185982864,review_00097
2249901748,review_00098
2089159342,review_00099
1410064789,review_00100
47449135,review_00101
14445480,review_00102
4700160,review_00103
4845487,review_00104
51012106,review_00105
47316221,review_00106
145128812,review_00107
1400552273,review_00108
88354293,review_00109
151253861,review_00110
6100432,review_00111
15017788,review_00112
11260778,review_00113
145201764,review_00114
38502752,review_00115
13197384,review_00116
5307263,review_00117
2146170567,review_00118
3644449,review_00119
46929557,review_00120
145060484,review_00121
2046526881,review_00122
4108337,review_00123
144543836,review_00124
46456195,review_00125
2084431932,review_00126
2110973880,review_00127
3879660,review_00128
8557729,review_00129
35067295,review_00130
145787322,review_00131
153421765,review_00132
1576167363,review_00133
1405425410,review_00134
1958108,review_00135
2258639661,review_00136
9953133,review_00137
49349832,review_00138
7484858,review_00139
2754188,review_00140
2242311427,review_00141
1576167363,review_00142
3173683,review_00143
145046124,review_00144
1610505930,review_00145
145892792,review_00146
8482107,review_00147
51901327,review_00148
48596504,review_00149
145216117,review_00150
3526683,review_00151
50189595,review_00152
1743835,review_00153
2265998211,review_00154
39302557,review_00155
145800766,review_00156
36375899,review_00157
3220822,review_00158
2816824,review_00159
2122294092,review_00160
33551380,review_00161
2067516762,review_00162
5538528,review_00163
145262574,review_00164
145597472,review_00165
1800462890,review_00166
1404930500,review_00167
4917556,review_00168
2155478110,review_00169
4331783,review_00170
2237108684,review_00171
35522298,review_00172
1840310,review_00173
1790661,review_00174
145497171,review_00175
1412431143,review_00176
1901365990,review_00177
46571943,review_00178
2110673359,review_00179
4065148,review_00180
145643132,review_00181
47509214,review_00182
9868931,review_00183
6700080,review_00184
1491116567,review_00185
2155293648,review_00186
2243579,review_00187
65881052,review_00188
23175349,review_00189
49700188,review_00190
2114636830,review_00191
2064421,review_00192
49139706,review_00193
49392403,review_00194
32062776,review_00195
4166649,review_00196
4008211,review_00197
10347103,review_00198
3951238,review_00199
30463403,review_00200
1793019,review_00201
123363001,review_00202
36434179,review_00203
10208339,review_00204
5866010,review_00205
3011654,review_00206
1904344772,review_00207
37187951,review_00208
1821055365,review_00209
81229947,review_00210
3896373,review_00211
3928075,review_00212
15308884,review_00213
2115302851,review_00214
4346535,review_00215
3706796,review_00216
4934757,review_00217
2946890,review_00218
39432369,review_00219
2074899682,review_00220
3466971,review_00221
2241376656,review_00222
5249013,review_00223
33747110,review_00224
2044641757,review_00225
2159325382,review_00226
2965648,review_00227
2114827214,review_00228
1920140,review_00229
6970814,review_00230
1401263043,review_00231
11784405,review_00232
145271572,review_00233
2422310,review_00234
35526588,review_00235
2239009264,review_00236
2057607416,review_00237
49436992,review_00238
2379897,review_00239
2109010806,review_00240
46355953,review_00241
2078701007,review_00242
2157148228,review_00243
48151222,review_00244
49385169,review_00245
2143090424,review_00246
1899648,review_00247
40140455,review_00248
31706467,review_00249
35570612,review_00250
152561120,review_00251
2149699176,review_00252
4244240,review_00253
1380784412,review_00254
1423269765,review_00255
51172920,review_00256
1403649967,review_00257
7925620,review_00258
143808236,review_00259
2158134,review_00260
47267203,review_00261
12941840,review_00262
5924581,review_00263
2301589535,review_00264
1398916569,review_00265
4127734,review_00266
2115273927,review_00267
32637701,review_00268
2115585,review_00269
5732642,review_00270
5266651,review_00271
3988622,review_00272
2112311532,review_00273
144847760,review_00274
6552011,review_00275
4686962,review_00276
4558793,review_00277
39122369,review_00278
5188752,review_00279
2232589,review_00280
49105176,review_00281
144646486,review_00282
1405228270,review_00283
2107953978,review_00284
2246992387,review_00285
2075589723,review_00286
2205190001,review_00287
145878297,review_00288
143899350,review_00289
1698459,review_00290
1398026385,review_00291
1444690538,review_00292
2066054378,review_00293
4310502,review_00294
12293660,review_00295
40009339,review_00296
2250762660,review_00297
40167802,review_00298
1840310,review_00299
145317224,review_00300
143842718,review_00301
39978942,review_00302
143683342,review_00303
37502219,review_00304
4095013,review_00305
117172268,review_00306
6733088,review_00307
40558793,review_00308
39807487,review_00309
2645857,review_00310
49402609,review_00311
4884015,review_00312
1939788,review_00313
4286893,review_00314
38262007,review_00315
3262701,review_00316
38087842,review_00317
47658376,review_00318
1477735539,review_00319
32817474,review_00320
2038367524,review_00321
4344096,review_00322
2112202605,review_00323
2156361877,review_00324
47083273,review_00325
2241731216,review_00326
152654106,review_00327
2160951860,review_00328
66819508,review_00329
1733437,review_00330
25827820,review_00331
97699982,review_00332
3514805,review_00333
15200105,review_00334
2064720484,review_00335
1742511869,review_00336
2246792677,review_00337
2813542,review_00338
50791499,review_00339
5174258,review_00340
26995361,review_00341
40451180,review_00342
47803729,review_00343
3895086,review_00344
6248041,review_00345
8232597,review_00346
34234590,review_00347
50156368,review_00348
2152437991,review_00349
3768445,review_00350
122868205,review_00351
49533751,review_00352
5616907,review_00353
2152765384,review_00354
2072819440,review_00355
2115720206,review_00356
39673651,review_00357
2569708,review_00358
102174086,review_00359
1736983079,review_00360
34785778,review_00361
1845865753,review_00362
2862716,review_00363
1686641,review_00364
5482258,review_00365
67143874,review_00366
2122826640,review_00367
2054540720,review_00368
1962716,review_00369
10208040,review_00370
48723605,review_00371
15039367,review_00372
2152982671,review_00373
1390062378,review_00374
1872188,review_00375
2258061,review_00376
1966538,review_00377
2144286288,review_00378
1430989587,review_00379
8150055,review_00380
2125420,review_00381
2251923237,review_00382
2066581,review_00383
3229227,review_00384
31866271,review_00385
10403071,review_00386
5531009,review_00387
92079506,review_00388
27393490,review_00389
2119798166,review_00390
2171101622,review_00391
50598700,review_00392
5467049,review_00393
5670086,review_00394
39003965,review_00395
5088236,review_00396
2155924433,review_00397
1560953687,review_00398
144094049,review_00399
144496684,review_00400
2070940106,review_00401
7173265,review_00402
2253564141,review_00403
46867462,review_00404
2130620798,review_00405
34646842,review_00406
3418055,review_00407
6611041,review_00408
2108229446,review_00409
2061324100,review_00410
2082465455,review_00411
48612078,review_00412
2134136469,review_00413
23145068,review_00414
1397506662,review_00415
1410064789,review_00416
1756193760,review_00417
2090122832,review_00418
1405833287,review_00419
3264749,review_00420
2193799,review_00421
8642136,review_00422
2373552,review_00423
4241990,review_00424
1749555833,review_00425
1401631157,review_00426
31952434,review_00427
2026303,review_00428
49370708,review_00429
48237998,review_00430
3843703,review_00431
2414697,review_00432
35473395,review_00433
2249566739,review_00434
12655534,review_00435
2116251682,review_00436
7542558,review_00437
1402150344,review_00438
9756930,review_00439
5310010,review_00440
2144541808,review_00441
2580586,review_00442
8306129,review_00443
66682150,review_00444
11886790,review_00445
153890689,review_00446
3082903,review_00447
144253417,review_00448
46583830,review_00449
144941676,review_00450
3298066,review_00451
37789867,review_00452
48789815,review_00453
1750932501,review_00454
152664675,review_00455
6802434,review_00456
1401366115,review_00457
145634215,review_00458
48381395,review_00459
30748779,review_00460
48870251,review_00461
3749921,review_00462
1394188292,review_00463
3453230,review_00464
87208353,review_00465
39211664,review_00466
1401698332,review_00467
2490811,review_00468
2398126,review_00469
3857159,review_00470
3216847,review_00471
11037163,review_00472
2099160,review_00473
40133694,review_00474
46327142,review_00475
49659839,review_00476
5674066,review_00477
91432341,review_00478
40026053,review_00479
2048155090,review_00480
34271872,review_00481
8954444,review_00482
2108697841,review_00483
5185050,review_00484
88926261,review_00485
2047242530,review_00486
14322718,review_00487
11204777,review_00488
3423265,review_00489
2150044858,review_00490
1485908700,review_00491
40617500,review_00492
1398546696,review_00493
1434894030,review_00494
2154690454,review_00495
13254663,review_00496
14401806,review_00497
2238741,review_00498
4387657,review_00499
1708916,review_00500
48020144,review_00501
50747679,review_00502
2371703,review_00503
2058572,review_00504
37187951,review_00505
49517043,review_00506
123286663,review_00507
6241648,review_00508
10156254,review_00509
4276041,review_00510
46428678,review_00511
89671325,review_00512
16095790,review_00513
46910937,review_00514
50236305,review_00515
32830279,review_00516
1769931,review_00517
39896776,review_00518
5526107,review_00519
144880063,review_00520
20687157,review_00521
26633278,review_00522
98651027,review_00523
1398575436,review_00524
2116033177,review_00525
65880834,review_00526
144340823,review_00527
2195171,review_00528
47185590,review_00529
47236191,review_00530
1756459,review_00531
50773274,review_00532
50307277,review_00533
3301017,review_00534
2238344496,review_00535
5379715,review_00536
2092362538,review_00537
91086065,review_00538
3846805,review_00539
1706574,review_00540
2716641,review_00541
39495578,review_00542
48419883,review_00543
4573646,review_00544
5520800,review_00545
1417353182,review_00546
143731496,review_00547
39931576,review_00548
48792301,review_00549
35277909,review_00550
37397199,review_00551
1455508397,review_00552
5311422,review_00553
2157170029,review_00554
47943348,review_00555
4570625,review_00556
2140890,review_00557
5116742,review_00558
48574107,review_00559
1381808362,review_00560
49499072,review_00561
2118602528,review_00562
81031759,review_00563
4252504,review_00564
82945206,review_00565
2031815799,review_00566
4446093,review_00567
144390809,review_00568
2087343863,review_00569
2119376492,review_00570
2053250912,review_00571
4005402,review_00572
145223347,review_00573
1789339,review_00574
47373575,review_00575
35030378,review_00576
1878589,review_00577
2240642,review_00578
3428487,review_00579
2143667930,review_00580
144345293,review_00581
48806049,review_00582
2108561173,review_00583
144857207,review_00584
5467246,review_00585
4614471,review_00586
1399168387,review_00587
2670273,review_00588
145228150,review_00589
2118027032,review_00590
2109330755,review_00591
13434098,review_00592
35423282,review_00593
4365455,review_00594
2152819834,review_00595
145531924,review_00596
11030895,review_00597
48262419,review_00598
1403222380,review_00599
145922223,review_00600
50607875,review_00601
1398612130,review_00602
3676985,review_00603
51333401,review_00604
50410482,review_00605
5021487,review_00606
38766200,review_00607
2314536570,review_00608
143651788,review_00609
4450093,review_00610
51918334,review_00611
2449870,review_00612
116809015,review_00613
49095979,review_00614
107824482,review_00615
7146602,review_00616
1889150,review_00617
121479156,review_00618
50580551,review_00619
4010739,review_00620
2404157,review_00621
51212605,review_00622
1397037192,review_00623
3566159,review_00624
1873440,review_00625
13235348,review_00626
6480999,review_00627
1398782184,review_00628
5386126,review_00629
40194255,review_00630
2247505439,review_00631
2146705869,review_00632
48845167,review_00633
3504416,review_00634
153339551,review_00635
35617950,review_00636
117439155,review_00637
2251737,review_00638
144855927,review_00639
2108782315,review_00640
38883678,review_00641
2706185,review_00642
2153603590,review_00643
1683647,review_00644
7028598,review_00645
6851214,review_00646
40177822,review_00647
49858406,review_00648
1602647868,review_00649
49904422,review_00650
144197023,review_00651
50638323,review_00652
112868807,review_00653
145400504,review_00654
2108533657,review_00655
1737880,review_00656
48722972,review_00657
5260242,review_00658
2053430589,review_00659
12260521,review_00660
2117194403,review_00661
2238163210,review_00662
6224569,review_00663
4758419,review_00664
9176423,review_00665
151470064,review_00666
7564506,review_00667
1700029,review_00668
36034322,review_00669
145698142,review_00670
47916473,review_00671
77650753,review_00672
2065220233,review_00673
34540579,review_00674
49307943,review_00675
3325904,review_00676
2178838314,review_00677
47652238,review_00678
37619784,review_00679
4274829,review_00680
2265881184,review_00681
10286898,review_00682
2116681823,review_00683
3714224,review_00684
2015300349,review_00685
2250627218,review_00686
2238877512,review_00687
2252079524,review_00688
2828581,review_00689
144712722,review_00690
1684081,review_00691
1456151527,review_00692
8157411,review_00693
2056454898,review_00694
2267749,review_00695
2254232185,review_00696
2172507185,review_00697
2108465033,review_00698
144842056,review_00699
48634451,review_00700
2911369,review_00701
46725841,review_00702
4232835,review_00703
5698221,review_00704
50267421,review_00705
2143494084,review_00706
5206428,review_00707
39750358,review_00708
153144400,review_00709
3107465,review_00710
48766400,review_00711
15587842,review_00712
31645322,review_00713
2273450385,review_00714
4486134,review_00715
3974904,review_00716
16170445,review_00717
2111406265,review_00718
5527354,review_00719
2871922,review_00720
31239605,review_00721
144798233,review_00722
33145535,review_00723
11045714,review_00724
89372820,review_00725
14815833,review_00726
37082521,review_00727
2111296455,review_00728
5792955,review_00729
5215835,review_00730
31502809,review_00731
2153416626,review_00732
38042304,review_00733
22543122,review_00734
4731307,review_00735
143755155,review_00736
1399604717,review_00737
4885486,review_00738
27039837,review_00739
40591996,review_00740
6285197,review_00741
12489091,review_00742
49731035,review_00743
10734708,review_00744
1591258608,review_00745
120590591,review_00746
3113071,review_00747
4280808,review_00748
2108695376,review_00749
114913336,review_00750
9725665,review_00751
8842827,review_00752
5352095,review_00753
2118536665,review_00754
19345602,review_00755
118459985,review_00756
145698014,review_00757
6769828,review_00758
48899311,review_00759
4500842,review_00760
34687426,review_00761
144236320,review_00762
89843190,review_00763
46502801,review_00764
2261463959,review_00765
2700404,review_00766
2078330214,review_00767
6106770,review_00768
2373518,review_00769
31434877,review_00770
2222999,review_00771
145291369,review_00772
3529667,review_00773
2115491818,review_00774
47226376,review_00775
93381859,review_00776
40312723,review_00777
1741947742,review_00778
1397312013,review_00779
5178518,review_00780
5005453,review_00781
32032573,review_00782
11934020,review_00783
4289426,review_00784
2108003936,review_00785
2180789407,review_00786
6090204,review_00787
2912339,review_00788
3297350,review_00789
5698221,review_00790
3294707,review_00791
10713286,review_00792
6427613,review_00793
2237110846,review_00794
2111224738,review_00795
5547057,review_00796
4493297,review_00797
4262549,review_00798
6621165,review_00799
1398462122,review_00800
2248624,review_00801
143972781,review_00802
1982822,review_00803
2110368377,review_00804
14131854,review_00805
40339515,review_00806
144911268,review_00807
7617150,review_00808
2146399519,review_00809
66485254,review_00810
2141647196,review_00811
5991461,review_00812
32635325,review_00813
2077559183,review_00814
31525806,review_00815
15992520,review_00816
2739696,review_00817
143937740,review_00818
4090820,review_00819
2071430183,review_00820
1401114877,review_00821
3722058,review_00822
52089624,review_00823
2046389473,review_00824
2007010979,review_00825
69559632,review_00826
152394949,review_00827
47822429,review_00828
2108776795,review_00829
153301351,review_00830
2108542193,review_00831
1406340745,review_00832
3394043,review_00833
10194700,review_00834
1999430,review_00835
2088925690,review_00836
1500382140,review_00837
30814760,review_00838
1400996876,review_00839
2707030,review_00840
152468266,review_00841
2115199382,review_00842
