reviewerName,expertiseAreas
Yu‐Le Yong,"degron, cognitive test, keap1, neurocognitive, health, genome-wide association study, genetic admixture, genetic architecture, genetic genealogy"
Tomasz Nazim,"degron, benzonitrile, keap1, annulene"
Yunfeng Hu,"foam cell, disease, molecularly imprinted polymer, molecular imprinting, chromatographic, pathogenesis, molecular, synthesis, alanine"
M. Wadelius,"foam cell, disease, pathogenesis, alanine"
B. Brus,"flavoprotein, flavin-containing monooxygenase, hydroxylamine, nitroso, nitrone"
Y. Abubakar,"flavoprotein, flavin-containing monooxygenase, hydroxylamine, nitroso, nitrone, complex matrix, molecularly imprinted polymer, nanomaterials, sample preparation, carbon fibers"
O. Lakhneko,"flavoprotein, grass carp, flavin-containing monooxygenase, hydroxylamine, nitroso, nitrone, comparative genomics, sequence assembly, genome size"
C. Barsamian,"orchidaceae, two-dimensional chromatography, phalaenopsis, dendrobium, genomic, comparative genomics, genome size"
Tao Wang,"orchidaceae, phalaenopsis, dendrobium, bistability, intensity, exponential decay, genomic, comparative genomics, exponent, metastability, genome size"
Tapabrata (Rohan) Chakraborty,"onboarding, transpose, matrix representation, sentiment analysis, matrix (chemical analysis), representation, scope (computer science), disinformation, edge device"
F. Henriques,"onboarding, scope (computer science), big data, data analysis, homomorphic encryption, edge device"
Tanya K. Ronson,"fertility clinic, menarche, disease, polygenic risk score, thematic analysis, hyperlipidemia"
U. Ben-David,"fertility clinic, menarche, data sharing, distributed data store, thematic analysis"
Boyu Zhang,"restricted boltzmann machine, feature (linguistics), boltzmann machine, initialization"
L. Coelho,"restricted boltzmann machine, feature (linguistics), boltzmann machine, initialization"
S. Fuhrmann,manihot esculenta
Wenqing Wu,"manihot esculenta, prostate biopsy"
V. Guglielmi,manihot esculenta
R. Bassett,"rationalization, broad spectrum"
Andrew J. Jenkins,"rationalization, jasmonic acid, broad spectrum, colletotrichum lindemuthianum"
Moritz V. Warmbrunn,"rationalization, broad spectrum"
W. Mo,"simulation modeling, chiller, cogeneration, granularity"
Hongfeng Li,"simulation modeling, chiller, cogeneration, granularity"
Kuo Yang,"simulation modeling, chiller, cogeneration, granularity"
Megan A. Lewis,"deer mouse, coronavirus, zoonosis, disease reservoir"
K. Watters,"deer mouse, secondary metabolism, coronavirus, zoonosis, metabolome, disease reservoir"
E. Sklar,"random projection, feature (linguistics), spark (programming language), big data, oversampling, dysbiosis, prevotella"
Philip Derbeko,"random projection, feature (linguistics), spark (programming language), big data, oversampling"
Weili Jiang,"broussonetia, genetic divergence, coevolution, host adaptation, adaptability, divergence (linguistics), local adaptation"
E. Puffenberger,"broussonetia, genetic divergence, coevolution, host adaptation, adaptability, divergence (linguistics), local adaptation"
P. Lin,"general knowledge, knowledge graph"
Pragati Tripathi,"general knowledge, knowledge graph"
E. Lundman,"pentamer, fluorenone, polyfluorene, rapid diagnostic test, trimer, parasitology, genomic, synthesis, tumor heterogeneity"
Jonathan A. Bernstein,"pentamer, fluorenone, polyfluorene, trimer, wearable technology, synthesis"
E. Hassanin,"pentamer, fluorenone, polyfluorene, trimer, synthesis, modularity, synthetic biology"
B. Garcia,ertapenem
Nighat Zarshad,"ertapenem, ccr4, jurkat cells"
Z. Baloch,ertapenem
Konrad U. Förstner,"entitlement (fair division), delegate, provisioning, genomic, medical genetics"
Haibo Chen,"entitlement (fair division), delegate, provisioning, modalities, transferability, margin (machine learning)"
J. Reese,"entitlement (fair division), constrained clustering, patient registry, conceptual clustering, national database, delegate, scope (computer science), provisioning, imputation (statistics), big data, relevance, baseline (sea), consensus clustering, clustering high-dimensional data, data stream clustering, receptor"
Dalin Wang,"cathinone, health, one health, global health, structural isomer"
Z. Imrei,"cathinone, structural isomer"
R. Bonidia,"cathinone, contextual image classification, topsis, similarity (geometry), cosine similarity, similarity measure, iris recognition, iris (biosensor), structural isomer"
V. Karar,"security guard, guard (computer science), provisioning, big data, homomorphic encryption, mining, variation (astronomy), resource management, secure two-party computation"
Heda Song,"security guard, guard (computer science), homomorphic encryption, secure two-party computation"
Yile Chen,"security guard, guard (computer science), nosql, homomorphic encryption, secure two-party computation"
J. Pacheco,"rna polymerase iii, feature (linguistics), sketch, discriminator, transcription, intergenic region"
Keshav Rajarshi,"rna polymerase iii, genomic, pandemic, coronavirus, health, transcription, intergenic region, novel virus"
F. Alhenc-Gelas,"delivery system, cancer therapy"
Yu-Tian Xiao,"delivery system, training set, cancer therapy"
Y. Asahina,"orbivirus, disease, stratification (seeds), risk stratification"
C. Brokamp,"orbivirus, disease"
L. Jing,"micro computer, cover tree, smartwatch, industry 4.0, best bin first, factory (object-oriented programming)"
Kenneth Sundberg,"micro computer, big data, data analysis, data anonymization"
J. Lönnqvist,"diclofenac, analgesic agents, diclofenac sodium, hydrazine (antidepressant), synthesis, anti-inflammatory"
M. Cieśla,"diclofenac, analgesic agents, diclofenac sodium, hydrazine (antidepressant), synthesis, anti-inflammatory"
D. Melgar,"diclofenac, analgesic agents, diclofenac sodium, dota, hydrazine (antidepressant), genomic, synthesis, anti-inflammatory, biocompatibility, mri contrast agent"
C. Bloch,"calculator, disease, pandemic, 2019-20 coronavirus outbreak, cancer genetics, epidemiological surveillance, narrative review"
E. Küpeli,calculator
S. Michael,"elongation, chemoselectivity, forebrain, heart development, coupling reaction, disease, synthesis, cell type"
Jolynne Mokaya,"elongation, chemoselectivity, coupling reaction, synthesis"
R. Davidrajuh,"relevance feedback, relevance, end-to-end principle"
Sunil Luthra,"relevance feedback, schema (genetic algorithms), relevance, leverage (statistics), interpretability, health, end-to-end principle"
Liang-Hung Wang,"relevance feedback, relevance, end-to-end principle"
Panos Patros,"facet (psychology), healthcare system, wearable technology"
M. Paolucci,"facet (psychology), consensus algorithm, scope (computer science), zero (linguistics)"
Ruihan Li,"kingdom, mandate, advisory committee, uniprot, pandemic, realm, coronavirus, cheminformatics, coronaviridae"
Christopher Hübel,kingdom
K. Dao,"chemical toxicity, chemotype, outpatient clinic, genomic, exome"
Xue-ning Wang,"chemical toxicity, chemotype"
K. Lazaridis,"chemical toxicity, chemotype"
M. Pourzandi,"transmitter power output, identification, big data, indexing, minification"
Wen Wu,"transmitter power output, big data, minification"
M. Barnsley,"transmitter power output, medication error, mining, minification"
Malte Kohns Vasconcelos,global developmental delay
D. Rainteau,global developmental delay
D. De Wied,"global developmental delay, empirical measure, eyewitness identification, identification, empirical research, confusion"
K. Hendrickson,"allylamine, 2-pyrrolidone, alcohol oxidation, vinyl alcohol, skin lesion, monkeypox, homo/lumo, autoencoder"
A. Salas,"allylamine, 2-pyrrolidone, alcohol oxidation, vinyl alcohol, dioscorea rotundata, identification, homo/lumo, genome"
Chi-Ping Huang,"allylamine, 2-pyrrolidone, alcohol oxidation, vinyl alcohol, homo/lumo"
V. Piazza,"dephasing, dynamics"
Gonzalo Scalese,"dephasing, dynamics, 2019-20 coronavirus outbreak, cell therapy"
J. Al-Jaroodi,"key space, zigzag, encryption, mining"
Panos Kostakos,"key space, zigzag, data integrity, ranging, encryption, transfer of learning, software portability, immutability"
Liyu Liu,"key space, zigzag, encryption"
G. Rocheleau,"microfluidic chip, chaotropic agent, clinical diagnosis, molecular diagnostics"
A. Kozińska,"microfluidic chip, chaotropic agent, clinical diagnosis, omics, molecular diagnostics, delay discounting"
Wei Yan,human fertility
T. Ren,"human fertility, borylation"
C. Everaert,"human fertility, feature (linguistics), sketch, discriminator"
S. Cauchemez,clinical equipoise
E. Hardisty,clinical equipoise
M. Were,"bimetal, gold cluster, plant immunity"
Huifang Li,"bimetal, gold cluster"
